twitter_id_from,twitter_id_to,score,label
258900199,24913074,-2.08625,1.0
56864092,124224165,-2.1128185,1.0
278124059,72198806,-2.0824838,1.0
90639372,467823431,-2.1245542,1.0
2968007206,36948268,-2.1375947,1.0
242376736,110545675,-2.1332536,1.0
584012853,219429281,-2.1493552,1.0
2863006655,234014087,-2.1173606,1.0
199325935,22669526,-2.1176882,1.0
161411080,234014087,-2.1303823,1.0
1055685948,16160352,-2.0974293,1.0
50452197,278124059,-2.0809531,1.0
1222257180,1092979962,-2.1071365,1.0
88806753,18909919,-2.0932324,1.0
24745957,2970279814,-2.1287,1.0
806906355214852096,467823431,-2.1333098,1.0
14135426,29201047,-2.094092,1.0
584012853,880480631108644864,-2.1560488,1.0
237312687,15745368,-2.123807,1.0
1058051748,1071900114,-2.132695,1.0
818472418620608512,1339931490,-2.1260176,1.0
2930635215,37094727,-2.1124637,1.0
806906355214852096,1058520120,-2.113975,1.0
1068499286,2968451607,-2.1314578,1.0
816705409486618624,816705409486618624,-2.091221,1.0
246341769,33977070,-2.1305912,1.0
72198806,1058520120,-2.1066618,1.0
834069080,819980276570976256,-2.1655622,1.0
816683274076614656,1249982359,-2.15281,1.0
2253968388,950328072,-2.117964,1.0
17976923,18137749,-2.1702876,1.0
249348006,1045110018,-2.129104,1.0
235190657,76452765,-2.1572957,1.0
18916432,1058917562,-2.172467,1.0
22509548,1060487274,-2.1508346,1.0
1339931490,20053279,-2.0969143,1.0
161791703,161791703,-2.1098902,1.0
18030431,818910970567344128,-2.163661,1.0
161791703,15764644,-2.118772,1.0
24195214,164369297,-2.1489875,1.0
137794015,558769636,-2.1038413,1.0
249348006,240427862,-2.1050372,1.0
235312723,23124635,-2.1884553,1.0
138770045,432676344,-2.1052709,1.0
1068499286,293131808,-2.105273,1.0
235312723,18166778,-2.2291458,1.0
234469322,1249982359,-2.173137,1.0
518644221,1155212191,-2.140723,1.0
2847221717,2951574214,-2.1382608,1.0
18916432,211420609,-2.158608,1.0
31801993,806906355214852096,-2.1216402,1.0
2973870195,2964287128,-2.172642,1.0
231510077,78445977,-2.0941305,1.0
193732179,1058520120,-2.1198313,1.0
3353670647,1071840474,-2.1246815,1.0
1072467470,17494010,-2.0987587,1.0
1065995022,18916432,-2.1673217,1.0
946549322,1068481578,-2.112057,1.0
1260172386,236279233,-2.1084912,1.0
935033864,827258161841135623,-2.1551182,1.0
242376736,17976923,-2.14217,1.0
23725826,233842454,-2.1733937,1.0
225921757,23124635,-2.1333485,1.0
312134473,1055730738,-2.122531,1.0
2382685057,22509548,-2.1673527,1.0
37920978,838462994,-2.1205616,1.0
1051446626,24735461,-2.1350558,1.0
432676344,2962868158,-2.1135833,1.0
305620929,23600262,-2.1151133,1.0
818713465653051392,37094727,-2.0852118,1.0
312134473,1058717720,-2.0996642,1.0
18909919,818975124460335106,-2.0899303,1.0
237763317,1444015610,-2.1580455,1.0
36948268,20545793,-2.0773659,1.0
74198348,2963445730,-2.1148968,1.0
240812994,14984637,-2.100026,1.0
2853309155,976969338,-2.1181948,1.0
1092979962,17494010,-2.108801,1.0
2970279814,1051127714,-2.096807,1.0
1209417007,85396297,-2.17184,1.0
117501995,21406834,-2.1096256,1.0
817076257770835968,18695134,-2.0910842,1.0
613725908,1155335864,-2.1358635,1.0
818472418620608512,1077121945,-2.1304212,1.0
1051127714,33563161,-2.1079125,1.0
1058520120,1339835893,-2.091123,1.0
815733290955112448,117501995,-2.075091,1.0
742735530287304704,15745368,-2.1241333,1.0
199325935,258900199,-2.142643,1.0
816298918468259841,247334603,-2.1100426,1.0
935368364,237763317,-2.1734045,1.0
240760644,234469322,-2.1416612,1.0
1074518754,29450962,-2.114674,1.0
815241612154417152,584012853,-2.157027,1.0
137794015,219429281,-2.0946107,1.0
28599820,24195214,-2.1347399,1.0
248735463,26637348,-2.0578873,1.0
231108733,31611298,-2.117235,1.0
124224165,216503958,-2.1147497,1.0
172858784,161791703,-2.1259472,1.0
22669526,970207298,-2.0962276,1.0
240760644,124224165,-2.1405816,1.0
18061669,1249982359,-2.1265197,1.0
2975091705,29766367,-2.1609764,1.0
233842454,88784440,-2.1243153,1.0
3044993235,3044993235,-2.0938673,1.0
