user_id	reply_to	count
368050288	69048123	3
368050288	229633414	5
368050288	315331161	1
368050288	12612432	1
368050288	12134692	1
368050288	225265639	1
368050288	49986034	1
368050288	16893929	2
368050288	246108117	1
486801537	27756540	5
486801537	15919256	1
486801537	470792609	3
486801537	486801537	9
486801537	49217025	6
486801537	3018670151	1
486801537	2375574151	9
486801537	24951142	2
486801537	23967935	5
486801537	3273220608	1
486801537	71048726	2
486801537	104797238	2
486801537	123322294	1
486801537	162225194	5
486801537	319689712	2
486801537	11702412	1
486801537	28279637	1
486801537	59679060	1
486801537	165247460	1
486801537	216299334	2
486801537	25073877	3
486801537	25036388	3
486801537	1074480192	1
486801537	527526077	1
65536177	65536177	15
65536177	22635613	1
1157365944	1157365944	59
17825977	15324851	2
17825977	22536055	3
17825977	17825977	2
17825977	259403099	5
19923144	19923144	355
3279945986	3279945986	1
47972614	47972614	6
14156070	25073877	2
14156070	14156070	9
14156070	216065430	1
14156070	225265639	5
14156070	2331209359	1
14156070	15808765	2
14156070	104198706	1
14156070	432895323	1
14156070	15976705	1
14156070	47747074	1
14156070	27493883	4
14156070	468646961	1
14156070	150078976	1
14156070	21728303	3
14156070	26637348	1
14156070	29501253	1
14156070	36686040	1
14156070	7429102	1
14156070	4091551984	4
14156070	38497702	1
14156070	33537967	1
14156070	942156122	1
14156070	7855062	1
14156070	83668232	1
14156070	824126001936474113	1
14156070	175114195	2
14156070	55948054	1
14156070	830908366377611266	2
14156070	1209417007	1
14156070	20998647	1
14156070	2223157392	1
14156070	237845487	1
14156070	325001316	1
14156070	16076032	1
14156070	13218102	2
14156070	30354991	1
14156070	15891430	1
14156070	851211	1
14156070	394724132	1
14156070	51462013	1
14156070	18166778	1
14156070	18464266	1
14156070	17220917	1
14156070	755113	1
14156070	215207998	1
14156070	4541535439	1
14156070	263473924	1
14156070	18533219	1
14156070	47475039	1
14156070	4099171	1
14156070	242836537	1
14156070	12612432	1
14156070	278124059	1
14156070	14247236	1
14156070	755835576	1
1079061579973439488	1079061579973439488	11
786764	786764	8
1068499286	1068499286	128
1068499286	2970279814	1
1068499286	1222257180	1
1068499286	109944769	1
1068499286	1901619300	1
20447590	20447590	2
20447590	40532337	1
43778469	28599820	98
43778469	20076659	3
43778469	2329066872	21
43778469	43778469	8
43778469	1626294277	1
43778469	9763482	6
43778469	18320938	1
43778469	542962969	2
43778469	1408003598	3
43778469	478167184	1
43778469	90252949	1
43778469	54322823	1
43778469	17494010	2
43778469	19877186	1
43778469	76707735	4
43778469	2334193741	1
43778469	939091	1
43778469	312149882	4
43778469	198517622	1
43778469	19923144	1
43778469	203226736	3
43778469	215207998	1
43778469	82689705	1
43778469	182398325	1
43778469	7259302	5
43778469	25202268	1
43778469	20068679	1
43778469	15988710	1
43778469	133880286	1
43778469	149954544	1
43778469	21043851	1
43778469	16076032	1
43778469	11855772	1
43778469	282695161	1
43778469	45190383	1
43778469	18766459	1
43778469	225265639	1
43778469	2316383071	1
43778469	34643610	1
43778469	197485214	1
43778469	20998647	1
43778469	1525694971	2
43778469	261749735	2
43778469	25073877	2
43778469	715044396	2
43778469	1339835893	1
43778469	20243128	1
43778469	16042794	1
43778469	21631487	1
46662081	371889510	1
46662081	950531	1
46662081	46662081	1
46662081	48038024	5
46662081	248900032	1
19923397	17746914	2
19923397	32765534	1
19923397	32308393	5
19923397	224746842	1
19923397	24464743	2
19923397	114782468	1
19923397	19923397	1
2372141510	2372141510	2
15729112	15729112	7
304611820	1079776144524754944	1
304611820	229633414	9
304611820	304611820	10
304611820	241201438	2
304611820	28279637	1
304611820	294085726	1
304611820	763992516	1
15466988	47475039	2
15466988	33276161	3
15466988	60783724	1
15466988	1081222837459996672	1
15466988	15816595	2
15466988	11866582	2
15466988	51953296	1
15466988	18586983	1
15466988	14190948	1
15466988	150078976	1
15466988	14888467	5
15466988	21542518	1
15466988	14289960	1
15466988	15466988	4
15466988	121489431	4
15466988	28599820	1
15466988	21212087	1
15466988	38271276	2
15466988	317887747	1
15466988	15978412	1
15466988	42153941	1
15466988	14348157	1
15466988	113819586	1
15466988	46213956	1
15466988	103130238	1
15466988	20800328	2
15466988	87271106	1
15466988	17198100	2
15466988	48847011	1
15466988	245441097	1
15466988	409486555	1
15466988	46250763	1
15466988	2223157392	1
15466988	18320938	2
15466988	634734888	1
15466988	928481	1
15466988	38693878	1
15466988	71048726	2
15466988	1001734520	1
18874870	18874870	269
18874870	47837269	1
18874870	41655668	10
18874870	14471411	4
18874870	15741036	6
18874870	16041234	1
18874870	56701775	1
18874870	3231061699	1
18874870	23281108	1
18874870	18810140	1
18874870	43412697	1
18874870	286432534	1
18874870	897565399771992064	1
18874870	15816711	1
18874870	15649438	1
18874870	123322294	3
18874870	826275936396046336	1
18874870	83462293	2
18874870	214622133	1
18874870	11640472	1
18874870	27782837	1
14680568	55948054	2
14680568	65466158	1
14680568	59524045	2
14680568	2316383071	4
14680568	58579942	2
14680568	27493883	4
14680568	14075193	1
14680568	3223426134	2
14680568	15431856	1
14680568	3231061699	4
14680568	13218102	2
14680568	37636667	1
14680568	1055907624	1
14680568	33537967	3
14680568	23281108	1
14680568	27511061	1
14680568	616737225	2
14680568	5746452	3
14680568	239548513	2
14680568	25073877	8
14680568	10350	1
14680568	34643610	5
14680568	14680568	2
14680568	299877078	1
14680568	633980404	1
14680568	818910970567344128	1
14680568	30364057	1
14680568	5763262	2
14680568	29501253	2
14680568	887418059501305858	1
14680568	309680827	1
14680568	634734888	11
14680568	43412697	6
14680568	47724293	1
14680568	15976705	6
14680568	30354991	2
14680568	49986034	1
14680568	18166778	1
14680568	4091551984	2
14680568	16041234	1
14680568	36711022	2
14680568	16873455	2
14680568	95463107	1
14680568	436925910	1
14680568	17494010	1
14680568	820378690920058880	1
14680568	18464266	1
14680568	14146966	1
14680568	14135426	2
14680568	3497941	1
14680568	2573480784	3
14680568	53503202	1
14680568	2432416417	1
14680568	242555999	2
14680568	84734907	1
14680568	28162211	2
14680568	225265639	2
14680568	37738073	1
14680568	1249982359	1
14680568	716813053	3
14680568	78716886	1
14680568	432895323	1
14680568	71048726	1
14680568	17759597	1
14680568	22737278	1
14680568	62734246	1
14680568	935148134505828353	1
14680568	107433523	1
14680568	237845487	1
14680568	1051396218	1
14680568	1078693601356509184	2
14680568	14247236	1
14680568	21867341	1
14680568	1216789842	1
14680568	20791372	1
14680568	21334179	1
14680596	5763262	5
14680596	579747564	1
14680596	75209239	1
14680596	43638469	1
14680596	1000228238	2
14680596	14680596	7
14680596	1051171	3
14680596	786764	1
14680596	15659909	1
14680596	15290909	3
14680596	9590262	2
14680596	32718488	7
14680596	24789175	1
14680596	4488	1
14680596	1175221	3
14680596	11388132	1
14680596	816214	2
14680596	18764018	1
42467881	87271106	6
42467881	42467881	21
42467881	61817626	2
42467881	16347506	1
42467881	122792963	2
42467881	30699754	2
42467881	17285007	1
