name	twitter_id	twitter_name	party
Raskin, Jamie	806906355214852096	RepRaskin	D
Ratcliffe, John	2847221717	RepRatcliffe	R
Reed, Jack	486694111	SenJackReed	D
Reed, Tom	252819323	RepTomReed	R
Renacci, James B.	2337241560	JimRenacci	R
Rice, Kathleen M.	2970462034	RepKathleenRice	D
Rice, Tom	1058345042	RepTomRice	R
Richmond, Cedric L.	267854863	RepRichmond	D
Risch, James E.	1096059529	SenatorRisch	R
Roberts, Pat	75364211	SenPatRoberts	R
Roby, Martha	69086398	TeamRoby	R
Rodgers, Cathy McMorris	17976923	cathymcmorris	R
Roe, David P.	52503751	DrPhilRoe	R
Rogers, Harold	550401754	RepHalRogers	R
Rogers, Mike D.	33977070	RepMikeRogersAL	R
Rohrabacher, Dana	19139963	DanaRohrabacher	R
Rokita, Todd	17544524	ToddRokita	R
Rooney, Francis	816111677917851649	RepRooney	R
Rooney, Thomas J.	23970171	TomRooney	R
Ros-Lehtinen, Ileana	14275291	RosLehtinen	R
Rosen, Jacky	4749863113	RosenforNevada	D
Ross, Dennis A.	3537275536	AmbDennisRoss	R
Rothfus, Keith J.	1155212191	KeithRothfus	R
Rounds, Mike 	2955485182	SenatorRounds	R
Rouzer, David	834069080	RepDavidRouzer	R
Roybal-Allard, Lucille	479872233	RepRoybalAllard	D
Royce, Edward R.	246769138	RepEdRoyce	R
Rubio, Marco	15745368	marcorubio	R
Ruiz, Raul	1089859058	CongressmanRuiz	D
Ruppersberger, C. A. Dutch	305620929	Call_Me_Dutch	D
Rush, Bobby L.	305216911	RepBobbyRush	D
Russell, Steve	2966758114	RepRussell	R
Rutherford, John H.	828977216595849216	RepRutherfordFL	R
Ryan, Paul D.	18916432	SpeakerRyan	R
Ryan, Tim	13491312	RepTimRyan	D
Sablan, Gregorio Kilili Camacho	926446070812602371	Kilili_Sablan	D
Sanchez, Linda T.	312134473	RepLindaSanchez	D
Sanders, Bernard	216776631	BernieSanders	I
Sanford, Mark	1499993378	RepSanfordSC	R
Sarbanes, John P.	364415553	RepSarbanes	D
Sasse, Ben 	1480852568	BenSasse	R
Scalise, Steve	1209417007	SteveScalise	R
Scanlon, Mary Gay	1067541214671577093	RepMGS	D
Schakowsky, Janice D.	24195214	janschakowsky	D
Schatz, Brian	47747074	brianschatz	D
Schiff, Adam B.	29501253	RepAdamSchiff	D
Schneider, Bradley Scott	1071840474	RepSchneider	D
Schrader, Kurt	20545793	RepSchrader	D
Schumer, Charles E.	17494010	SenSchumer	D
Schweikert, David	229197216	RepDavid	R
Scott, Austin	110755266	ScottMAustin	R
Scott, David	272465994	ScottDavidCast	D
"Scott, Robert C. ""Bobby"""	161791703	BobbyScott	D
Scott, Tim	217543151	SenatorTimScott	R
Sensenbrenner, F. James, Jr.	851621377	JimPressOffice	R
Serrano, Jose E.	33563161	RepJoseSerrano	D
Sessions, Jeff	986781648	jeffsessions	R
Sessions, Pete	24735461	PeteSessions	R
Sewell, Terri A.	381152398	RepTerriSewell	D
Shaheen, Jeanne	109287731	SenatorShaheen	D
Shea-Porter, Carol	154139987	TeamSheaPorter	D
Shelby, Richard C.	21111098	SenShelby	R
Sherman, Brad	30216513	BradSherman	D
Shimkus, John	15600527	RepShimkus	R
Simpson, Michael K.	365922043	BorrowedSpace	R
Sinema, Kyrsten	20747881	kyrstensinema	D
Sires, Albio	18696134	RepSires	D
Slaughter, Louise McIntosh	63169388	louiseslaughter	D
Smith, Adam	58928690	RepAdamSmith	D
Smith, Adrian	296245061	RepAdrianSmith	R
Smith, Christopher H.	1289319271	RepChrisSmith	R
Smith, Jason	181621546	JasonSmith929	R
Smith, Lamar	15856366	LamarSmithTX21	R
Smith, Tina 	47724293	TinaSmithMN	D
Smucker, Lloyd	41417564	RepSmucker	R
Soto, Darren	818713465653051392	RepDarrenSoto	D
Speier, Jackie	24913074	RepSpeier	D
Stabenow, Debbie	20113797	stabenow	D
Stefanik, Elise M.	109579534	EliseStefanik	R
Stewart, Chris	1072008757	RepChrisStewart	R
Stivers, Steve	211420609	RepSteveStivers	R
